term	estimate	std.error	statistic	p.value	conf.low	conf.high
(Intercept)	-33.852	3.113	-10.875	0	-40.317	-28.101
Verbomofar	-7.637	8.521	-0.896	0.37	-28.592	6.641
fecha	0.022	0.002	11.012	0	0.018	0.026
Aspecto_verbalnon_finite	2.964	3.682	0.805	0.421	-4.25	10.265
Complemento_deno_object	9.986	3.602	2.773	0.006	2.914	17.126
Verbomofar:fecha	0.003	0.005	0.594	0.552	-0.005	0.015
fecha:Aspecto_verbalnon_finite	-0.003	0.002	-1.215	0.224	-0.007	0.002
fecha:Complemento_deno_object	-0.007	0.002	-2.922	0.003	-0.011	-0.002
